Model,MAE,RMSE,R2,MAE_approaching,RMSE_approaching,R2_approaching,train_time_s
RF_seed0,73.20726307325022,145.78101793933058,0.8519456694027314,104.83420965709551,184.78189429393206,0.2818484869554525,503.33
RF_seed1,73.21286635670174,145.87554788324965,0.8517535990578432,104.74985539401327,184.71734349236232,0.2823501503774489,500.33
RF_seed2,73.21241025714174,145.9418930246231,0.8516187215519204,104.75803418791418,184.71533289403163,0.2823657731415009,500.37
RF_seed3,73.27502141840826,145.79184115804279,0.8519236845941687,105.01835413865923,185.0157086295058,0.280029906679198,490.87
RF_seed4,73.18533417743082,145.7745187770351,0.8519588701292431,104.80483795254592,184.7577400698021,0.28203622460078004,505.83
RF_seed5,73.24808764752424,145.9443812124,0.8516136619542548,104.80053144585891,184.78189558203132,0.2818484769431031,494.01
RF_seed6,73.28837820733227,145.94726060294562,0.8516078067588697,104.85859358049845,184.8109191649775,0.2816228599565852,495.79
RF_seed7,73.28072720921892,145.9098989628241,0.8516837720912731,104.94056841207946,184.9323738566052,0.28067833845177237,494.95
RF_seed8,73.21857961295012,145.93750873535257,0.8516276365613386,104.74598607860057,184.74168108379243,0.28216102878101423,488.57
RF_seed9,73.20479698773309,145.81109471256104,0.8518845715183905,104.8254934576288,184.7749855165605,0.28190218762984365,496.89
