Model,MAE,RMSE,R2,MAE_approaching,RMSE_approaching,R2_approaching,train_time_s,best_iter
XGB_seed0,72.81291961669922,141.57641349947738,0.8603628873825073,104.03388214111328,180.6980658878921,0.31324130296707153,17.83,398
XGB_seed1,72.66507720947266,141.55179319333965,0.8604114055633545,103.84796142578125,180.67883605136214,0.3133874535560608,16.79,399
XGB_seed2,72.74088287353516,141.54379015431937,0.86042720079422,103.91533660888672,180.59502346410324,0.31402432918548584,19.48,399
XGB_seed3,72.7818832397461,141.63805241044867,0.8602412343025208,103.96656799316406,180.72121140032235,0.3130653500556946,16.72,399
XGB_seed4,72.7183609008789,141.64487807321166,0.8602277636528015,103.89629364013672,180.6863812227557,0.31333011388778687,16.59,398
XGB_seed5,72.70310974121094,141.61595293257042,0.8602848052978516,103.99878692626953,180.8924544532607,0.3117629289627075,16.69,399
XGB_seed6,72.79408264160156,141.57777235498517,0.8603601455688477,104.05238342285156,180.80362059082225,0.3124387860298157,16.58,399
XGB_seed7,72.71481323242188,141.6160701619876,0.8602846264839172,104.07174682617188,180.81164664506542,0.3123776912689209,16.82,399
XGB_seed8,72.80436706542969,141.62204873359232,0.8602728247642517,103.97846984863281,180.63691569693057,0.31370604038238525,16.79,399
XGB_seed9,72.73745727539062,141.55277974354655,0.8604094982147217,104.00691223144531,180.812121931855,0.3123740553855896,17.32,399
