trajectory_id,label,has_alarm,has_fail,lead_time,alarm_time,fail_time
2145,1,False,False,,,
2783,3,True,True,19.0,171.0,190.0
1215,3,True,False,,894.0,
1881,1,False,False,,,
2289,1,False,False,,,
1558,2,False,False,,,
1872,0,False,False,,,
2657,1,False,False,,,
2672,0,False,False,,,
1334,2,False,False,,,
1844,0,False,False,,,
2465,1,False,False,,,
321,1,False,False,,,
71,3,True,True,0.0,473.0,473.0
269,1,False,False,,,
478,2,False,False,,,
1495,3,True,True,-2.0,884.0,882.0
1112,0,False,False,,,
943,3,True,False,,897.0,
11,3,False,False,,,
1716,0,False,False,,,
1879,3,True,True,42.0,279.0,321.0
867,3,True,True,-2.0,649.0,647.0
2348,0,True,True,-12.0,12.0,0.0
1404,0,False,False,,,
1818,2,True,True,41.0,106.0,147.0
1827,3,True,True,-12.0,12.0,0.0
808,0,False,False,,,
2042,2,True,True,13.0,406.0,419.0
896,0,False,False,,,
2976,0,False,False,,,
165,1,False,False,,,
1791,3,True,True,-12.0,12.0,0.0
749,1,False,False,,,
1645,1,False,False,,,
2273,1,False,False,,,
1327,3,True,True,-2.0,344.0,342.0
1390,2,True,True,13.0,464.0,477.0
2842,2,True,True,64.0,601.0,665.0
839,3,True,True,22.0,76.0,98.0
872,0,False,False,,,
2087,3,True,True,30.0,337.0,367.0
846,2,False,False,,,
2293,1,False,False,,,
1163,3,True,True,2.0,297.0,299.0
1133,1,False,False,,,
2166,2,True,True,16.0,654.0,670.0
112,0,False,False,,,
70,2,True,True,44.0,724.0,768.0
56,0,False,False,,,
14,2,False,False,,,
851,3,False,False,,,
406,2,True,True,27.0,322.0,349.0
553,1,False,False,,,
1425,1,False,False,,,
919,3,True,True,59.0,727.0,786.0
1927,3,True,True,-12.0,12.0,0.0
241,1,False,False,,,
838,2,True,True,11.0,551.0,562.0
2874,2,True,True,-12.0,12.0,0.0
2549,1,False,False,,,
1941,1,False,False,,,
798,2,False,False,,,
1347,3,False,False,,,
2951,3,True,True,-2.0,233.0,231.0
2058,2,False,False,,,
1350,2,False,False,,,
1188,0,False,False,,,
240,0,False,False,,,
1884,0,False,False,,,
1459,3,False,False,,,
2615,3,True,True,8.0,264.0,272.0
992,0,False,False,,,
2342,2,True,True,43.0,309.0,352.0
786,2,False,False,,,
537,1,False,False,,,
327,3,False,False,,,
1276,0,False,False,,,
2953,1,False,False,,,
2208,0,False,False,,,
888,0,False,False,,,
2669,1,False,False,,,
1107,3,False,False,,,
1609,1,False,False,,,
2913,1,False,False,,,
419,3,True,True,14.0,661.0,675.0
2470,2,False,False,,,
454,2,False,False,,,
2005,1,False,False,,,
2014,2,False,False,,,
2589,1,False,False,,,
2461,1,False,False,,,
939,3,True,True,4.0,326.0,330.0
2400,0,False,False,,,
1526,2,False,False,,,
1809,1,False,False,,,
692,0,False,False,,,
182,2,True,True,9.0,804.0,813.0
2177,1,False,False,,,
2999,3,True,True,-12.0,12.0,0.0
